source_path,dest_path,reason
# === Core scripts ===
main.py,main.py,keep primary entrypoint in root
execute_tuesday_trades.py,_archive/deprecated/execute-tuesday-trades.py,archive dated execution script
check_kss_stop.py,scripts-and-data/scripts/check-kss-stop.py,utility script
test_weekly_extraction.py,utils/tests/test-weekly-extraction.py,test script
reorganize_root.py,_archive/deprecated/reorganize-root.py,archive deprecated reorg
reorganize-repo.sh,_archive/deprecated/reorganize-repo.sh,archive old reorg
reorganize-undo.sh,_archive/deprecated/reorganize-undo.sh,archive old undo
reorg.ps1,_archive/deprecated/reorg.ps1,archive old reorg script
undo_reorg.ps1,_archive/deprecated/undo-reorg.ps1,archive old undo script

# === Agents (preserve structure) ===
agents/*.py,agents/,keep agent files in place
communication/*.py,agents/communication/,group communication with agents
01_trading_system/agents/*,agents/legacy/,archive legacy agents
01_trading_system/bots/dee_bot/*,agents/dee-bot/,consolidate dee bot
01_trading_system/bots/shorgan_bot/*,agents/shorgan-bot/,consolidate shorgan bot
dee-bot/*,agents/dee-bot/,merge dee-bot folders
shorgan-bot/*,agents/shorgan-bot/,merge shorgan-bot folders

# === Scripts & automation ===
*.bat,scripts-and-data/scripts/,utility batch scripts
update_dee_bot_daily.bat,scripts-and-data/scripts/update-dee-bot-daily.bat,batch script
run_daily_snapshot.bat,scripts-and-data/scripts/run-daily-snapshot.bat,batch script
setup_*.bat,scripts-and-data/scripts/setup/,setup scripts
scripts-and-data/automation/*.py,scripts-and-data/automation/,keep automation scripts
01_trading_system/automation/*.py,scripts-and-data/automation/,merge automation
01_trading_system/automation/chatgpt_extension/*,utils/extensions/chatgpt/,browser extension
06_utils/scripts/*,scripts-and-data/scripts/,merge utility scripts

# === Data & logs ===
SHORGAN_CATALYST_*.json,logs/trading/shorgan/,bot trading logs
trading_snapshot_*.json,logs/snapshots/,snapshot logs
performance_history.json,scripts-and-data/data/performance/performance-history.json,performance data
performance_tracking.log,logs/system/performance-tracking.log,system log
telegram_reports.log,logs/system/telegram-reports.log,telegram log
scripts-and-data/trading-bot.db,scripts-and-data/data/db/trading-bot.db,database file
09_logs/*,logs/,consolidate logs
08_trading_logs/*,logs/trading/,merge trading logs
daily-reports/*,scripts-and-data/data/reports/daily/,organize daily reports
weekly-reports/*,scripts-and-data/data/reports/weekly/,organize weekly reports
post_market_daily/*,scripts-and-data/data/reports/post-market/,post market reports
scripts-and-data/daily-csv/*,scripts-and-data/data/positions/,position files
scripts-and-data/daily-json/*,scripts-and-data/data/json/,json data files
trade-logs/*,logs/trading/,trading logs
portfolio-holdings/*,scripts-and-data/data/positions/,portfolio positions

# === Documentation & research ===
README.md,README.md,keep readme in root
CLAUDE.md,docs/claude-context.md,context documentation
*.md,docs/guides/,markdown documentation
Trading-R1*.pdf,research/pdf/trading-r1.pdf,research paper
G0pmQ66XUAEHqBk.jpeg,_archive/misc/image.jpeg,archive image
tree.txt,_archive/misc/tree.txt,archive tree file
tree_current.txt,_archive/misc/tree-current.txt,archive tree file
nul,_archive/misc/nul,archive null file
docs/*,docs/,keep docs structure
07_docs/*,docs/legacy/,merge legacy docs
research-analysis/academic-papers/*,research/pdf/,academic papers
research-analysis/chatgpt-reports/*,research/chatgpt/,chatgpt reports
research-analysis/multi-agent-analysis/*,research/multi-agent/,multi-agent analysis
01_trading_system/automation/02_data/research/reports/pre_market_daily/*,research/reports/pre-market/,pre-market reports
02_data/research/*,research/data/,research data

# === Configs ===
.env,configs/.env,environment config
.coveragerc,configs/.coveragerc,coverage config
.gitignore,configs/.gitignore,git config
.gitignore_new,_archive/misc/.gitignore-new,archive duplicate gitignore
03_config/*,configs/,merge config files
01_trading_system/config/*,configs/bots/,bot configs
.claude/*,configs/claude/,claude settings

# === Frontend ===
frontend/*,frontend/,keep frontend structure
08_frontend/*,frontend/legacy/,merge legacy frontend

# === Utils & tests ===
tests/*,utils/tests/,test files
.pytest_cache/*,_archive/temp/pytest-cache/,archive cache
utils/*,utils/,keep utils
06_utils/*,utils/legacy/,merge legacy utils

# === Backtesting ===
05_backtesting/*,backtests/,backtesting files

# === Risk management ===
04_risk/*,risk/,risk management

# === Market data ===
02_data/market/*,scripts-and-data/data/market/,market data
02_data/portfolio/*,scripts-and-data/data/portfolio/,portfolio data
02_data/reports/*,scripts-and-data/data/reports/,reports
02_data/misc/*,_archive/misc/,misc data

# === Core execution ===
01_trading_system/core/*,agents/core/,core trading engine
01_trading_system/execution/*,agents/execution/,execution handlers
01_trading_system/*.py,agents/core/,core scripts

# === Indexes & misc ===
index/*,docs/index/,index files
performance-metrics/*,scripts-and-data/data/metrics/,performance metrics
C:Usersshorgai-stock-trading-botmapping.csv,_archive/misc/corrupted-mapping.csv,corrupted file
mapping.csv,_archive/misc/old-mapping.csv,old mapping file
hash_manifest.txt,_archive/misc/hash-manifest.txt,hash manifest
reorg.log,_archive/logs/reorg.log,old reorg log
dry-run-commands.txt,_archive/misc/dry-run-commands.txt,old commands

# === Archive structure ===
_archive/*,_archive/,keep archive structure
__pycache__/*,_archive/temp/pycache/,archive pycache
